idcustomer,name,age,renting,created_at,account_points,premium_membership
1,Emory,24,1,9/8/2024,74,1
2,Imelda,52,1,9/19/2024,7,1
3,Ysabel,30,1,12/26/2024,49,1
4,Temp,39,0,5/27/2024,78,0
5,Jobye,52,0,2/10/2024,78,1
6,Carlina,65,1,8/17/2024,42,1
7,Brod,24,1,4/10/2024,43,1
8,Ruthy,60,0,1/22/2025,43,1
9,Nanette,81,0,6/24/2024,82,0
10,Jandy,40,1,3/10/2024,94,0
11,Alex,39,1,1/24/2025,100,1
12,Leshia,66,1,8/9/2024,65,1
13,Theodore,29,0,6/18/2024,88,1
14,Lavina,43,0,3/5/2024,98,1
15,Bernardine,38,1,7/18/2024,15,0
16,Christian,29,0,7/7/2024,87,0
17,Dode,86,1,1/29/2025,97,1
18,Yorke,67,1,2/3/2024,65,1
19,Vikki,72,1,7/21/2024,23,1
20,Joela,40,1,12/8/2024,66,0
21,Lydie,45,0,6/3/2024,34,0
22,Ritchie,59,1,8/8/2024,21,0
23,Jonah,97,0,12/4/2024,87,1
24,Alfred,38,1,11/5/2024,81,0
25,Corbie,78,1,10/27/2024,11,1
26,Penelope,97,1,1/16/2025,91,1
27,Carce,100,1,3/24/2024,27,0
28,Kain,80,0,2/4/2024,48,1
29,Zorine,90,0,8/4/2024,30,0
30,Jacquenette,39,1,8/18/2024,71,1
31,Thelma,98,1,10/26/2024,64,1
32,Haskel,30,0,10/1/2024,6,0
33,Adrien,76,0,12/6/2024,23,1
34,Raff,84,1,8/24/2024,13,1
35,Currey,62,0,8/15/2024,6,0
36,Cass,52,0,10/18/2024,32,0
37,Shannah,56,1,5/20/2024,74,1
38,Shanda,42,0,8/9/2024,29,1
39,Rockie,26,1,4/10/2024,77,1
40,Noell,67,0,1/3/2025,65,0
41,Jabez,48,1,6/22/2024,96,1
42,Geri,68,1,6/12/2024,66,1
43,Mollie,52,0,12/20/2024,24,1
44,Tildie,41,0,8/29/2024,7,1
45,Waiter,92,1,9/6/2024,20,1
46,Eden,76,1,11/1/2024,9,1
47,Kassey,46,0,9/26/2024,93,0
48,Alleen,59,0,8/5/2024,19,1
49,Annnora,98,0,2/1/2025,20,1
50,Calv,65,1,4/11/2024,24,1
51,Junina,47,0,11/5/2024,2,0
52,Mac,62,0,1/11/2025,13,0
53,Minda,47,1,4/12/2024,45,0
54,Jessie,98,1,7/28/2024,59,0
55,Almeda,88,1,4/21/2024,38,1
56,Olvan,87,0,3/16/2024,42,1
57,Stanfield,63,1,10/9/2024,85,0
58,Melli,33,0,2/6/2024,43,1
59,Corinna,53,0,3/24/2024,10,1
60,Corliss,46,1,9/7/2024,48,1
61,Charlot,84,0,10/3/2024,87,0
62,Michell,93,1,5/23/2024,98,0
63,Peadar,35,0,11/6/2024,56,1
64,Silvanus,90,0,9/11/2024,28,0
65,Laney,65,0,7/23/2024,19,0
66,Quincey,94,0,10/4/2024,79,1
67,Dianne,49,0,10/12/2024,75,0
68,Florie,61,0,3/2/2024,92,1
69,Lyndy,41,1,8/2/2024,35,0
70,Liuka,40,1,4/13/2024,80,0
71,Harmonia,42,0,2/21/2024,23,1
72,Carmen,74,1,5/19/2024,80,1
73,Mirilla,61,1,8/12/2024,7,0
74,Piper,74,0,11/24/2024,49,1
75,Stephenie,84,0,8/17/2024,14,1
76,Brendan,54,0,12/2/2024,12,1
77,Gayla,55,0,9/18/2024,48,1
78,Barri,57,1,12/13/2024,18,0
79,Elly,26,0,2/24/2024,83,1
80,Morris,51,0,10/23/2024,24,0
81,Christy,39,0,9/21/2024,30,0
82,Alric,62,0,4/12/2024,34,0
83,Ashlee,49,0,7/3/2024,70,0
84,Karrah,75,1,9/18/2024,90,1
85,Alfi,47,0,7/8/2024,26,1
86,Ermin,93,0,5/29/2024,54,1
87,Georgena,29,0,3/1/2024,87,0
88,Milty,52,1,6/19/2024,33,1
89,Erskine,88,0,9/27/2024,3,0
90,Sallyann,52,0,6/20/2024,78,1
91,Selina,69,0,2/13/2024,81,0
92,Blondell,58,1,8/10/2024,88,1
93,Kimmie,57,1,10/5/2024,39,1
94,Mateo,79,0,11/27/2024,15,1
95,Davis,69,1,7/27/2024,5,1
96,Marja,72,0,7/28/2024,96,0
97,Cesya,61,0,5/14/2024,44,1
98,Kyle,39,1,6/11/2024,23,0
99,Mahmud,95,1,10/18/2024,72,0
100,Tim,96,0,6/21/2024,100,0
101,Alix,28,0,5/18/2024,38,1
102,Mirella,52,0,7/10/2024,31,1
103,Robbi,28,1,9/17/2024,86,0
104,Judas,91,1,9/21/2024,20,1
105,Mechelle,77,1,9/23/2024,25,1
106,Franky,29,0,7/26/2024,19,0
107,Maude,40,0,12/7/2024,39,0
108,Jan,35,1,7/11/2024,28,1
109,Brion,86,0,12/20/2024,84,0
110,Penelopa,89,0,1/1/2025,99,1
111,Fredia,68,0,8/16/2024,64,1
112,Tabbatha,59,0,6/8/2024,16,0
113,Gonzalo,25,0,8/21/2024,15,1
114,Lonnie,59,0,5/10/2024,44,0
115,Gery,29,1,2/12/2024,18,1
116,Duky,59,1,6/20/2024,74,1
117,Maude,23,1,5/28/2024,61,1
118,Ahmed,99,1,7/12/2024,78,1
119,Pablo,84,1,11/12/2024,18,1
120,Myrilla,49,0,5/2/2024,1,0
121,Kingsly,83,0,12/18/2024,21,1
122,Terri,96,1,11/20/2024,22,1
123,Aileen,34,1,6/2/2024,61,1
124,Jemie,43,0,3/30/2024,83,0
125,Teresina,61,0,10/9/2024,81,0
126,Hagen,82,1,11/26/2024,49,1
